Word,Pronunciation,Root Word Returned,Missing
a,ɛɪ,0,0
aa, eɪeɪ eɪeɪ eɪeɪ eɪeɪ,0,0
aah, ɑ,0,0
aardvark, ɑɹdvɑɹk,0,0
aargh,,0,1
aaron,,0,1
ab, eɪbi eɪbi eɪbi,0,0
aba,,0,1
aback,,0,1
abacus, æbəkəs æbəkəs æbəkəs əbækəs,0,0
abalone, æbəloʊni,0,0
abalones, æbəloʊni,1,0
abandon, əbændən əbændən əbændən,0,0
abandoned, əbændənd əbændənd,0,0
abandoning, əbændən əbændən əbændən,1,0
abandonment, əbændənmənt,0,0
abandons, əbændən əbændən əbændən əbændən əbændən,1,0
abate, əbeɪt əbeɪt,0,0
abated, əbeɪt,1,0
abatement, əbeɪtmənt,0,0
abates, əbeɪt əbeɪt,1,0
abating, əbeɪt,1,0
abba,,0,1
abbas,,0,1
abbe,,0,1
abbey, æbi æbi,0,0
abbot, æbət,0,0
abbott,,0,1
abbreviate, əbɹivieɪt əbɹivieɪt,0,0
abbreviated, əbɹivieɪtɪd əbɹivieɪtɪd,0,0
abbreviation, əbɹivieɪʃən əbɹivieɪʃən,0,0
abbreviations, əbɹivieɪʃən əbɹivieɪʃən,1,0
abby,,0,1
abc, eɪbisi eɪbisi eɪbisi eɪbisi,0,0
abdicate, æbdəkeɪt æbdɪkeɪt,0,0
abdicated, æbdəkeɪt æbdəkeɪt,1,0
abdicates, æbdəkeɪt æbdəkeɪt æbdɪkeɪt,1,0
abdicating, æbdəkeɪt æbdəkeɪt,1,0
abdication, æbdəkeɪʃən æbdəkeɪʃən,0,0
abdomen, æbdəmən æbdəmən,0,0
abdominal, æbdɑmənəl,0,0
abduct, æbdʌkt æbdʌkt æbdʌkt əb,0,0
abducted, æbdʌkt æbdʌkt,1,0
abductee, æbdʌkti,0,0
abductees, æbdʌkti,1,0
abducting, æbdʌkt æbdʌkt,1,0
abduction, æbdʌkʃən æbdʌkʃən,0,0
abductions, æbdʌkʃən æbdʌkʃən,1,0
abductor, æbdʌktɚ æbdʌktɚ,0,0
abductors, æbdʌktɚ æbdʌktɚ,1,0
abducts, æbdʌkt æbdʌkt æbdʌkt əb,1,0
abed,,0,1
abel,,0,1
abele,,0,1
abend,,0,1
