Word,Pronunciation
a, weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə weak ə ə
aah, ɑː
aardvark, ˈɑːrdvɑːrk
abacus," ˈæbəkəs ˈæbəkəs ˈæb·ə·kəs, əˈbæk·əs"
abalone, æbəˈloʊni
abandon, əˈbændən əˈbændən əˈbæn·dən
abandoned, əˈbændənd əˈbæn·dənd
abandonment, əˈbændənmənt
abate, əˈbeɪt əˈbeɪt
abatement, əˈbeɪtmənt
abbey, ˈæbi ˈæb·i
abbot, ˈæbət
abbreviate, əˈbriːvieɪt əˈbri·viˌeɪt
abbreviated, əˈbriːvieɪt̬ɪd əˈbriːvieɪt̬ɪd
abbreviation, əˌbriːviˈeɪʃən əˌbri·viˈeɪ·ʃən
abdicate, ˈæbdəkeɪt ˈæb·dɪˌkeɪt
abdication, ˌæbdəˈkeɪʃən ˌæbdəˈkeɪʃən
abdomen, ˈæbdəmən ˈæb·də·mən
abdominal, æbˈdɑːmənəl
abduct," æbˈdʌkt æbˈdʌkt æbˈdʌkt, əb-"
abductee, æbdʌkˈtiː
abduction, æbˈdʌkʃən æbˈdʌkʃən
abductor, æbˈdʌktɚ æbˈdʌktɚ
aberrant, ˈæbərənt
aberration, ˌæbəˈreɪʃən ˌæb·əˈreɪ·ʃən
abet, əˈbet əˈbet
abeyance, əˈbeɪəns
abhor," æbˈhɔːr æbˈhɔr, əb-"
abhorrent, æbˈhɔːrənt
abide, əˈbaɪd
abiding, əˈbaɪdɪŋ əˈbɑɪd·ɪŋ
ability, əˈbɪlət̬i əˈbɪl·ɪ·t̬i
abject, ˈæbdʒekt ˈæb·dʒekt
ablaze, əˈbleɪz əˈbleɪz əˈbleɪz əˈbleɪz
able, ˈeɪbəl ˈeɪ·bəl ˈeɪ·bəl
ably, ˈeɪbli
abnormal," æbˈnɔːrməl æbˈnɔr·məl, əb-"
abnormality, ˌæbnɔːrˈmælət̬i
abnormally, æbˈnɔːrməli
aboard," əˈbɔːrd əˈbɔːrd əˈbɔrd, -ˈboʊrd"
abode, əˈboʊd əˈboʊd
abolish, əˈbɑːlɪʃ əˈbɑl·ɪʃ
abolition, ˌæbəˈlɪʃən ˌæb·əˈlɪʃ·ən ˌæb·əˈlɪʃ·ən
abolitionist, ˌæbəˈlɪʃənɪst ˌæb·əˈlɪʃ·ə·nɪst
abominable, əˈbɑːmənəbəl əˈbɑm·ə·nə·bəl
abomination, əˌbɑːməˈneɪʃən
aboriginal, ˌæbəˈrɪdʒənəl ˌæb·əˈrɪdʒ·ə·nəl
abort, əˈbɔːrt əˈbɔːrt əˈbɔːrt əˈbɔrt əˈbɔrt
abortion, əˈbɔːrʃən əˈbɔːrʃən əˈbɔːrʃən
abortionist, əˈbɔːrʃənɪst
abortive, əˈbɔːrt̬ɪv
abound, əˈbaʊnd əˈbɑʊnd
about, əˈbaʊt əˈbaʊt əˈbaʊt əˈbɑʊt
above, əˈbʌv əˈbʌv əˈbʌv əˈbʌv əˈbʌv əˈbʌv əˈbʌv
aboveboard," əˈbʌvˌbɔːrd əˈbʌvˌbɔrd, -ˌboʊrd"
abracadabra, ˌæbrəkəˈdæbrə
abrasion, əˈbreɪʒən əˈbreɪʒən əˈbreɪ·ʒən
abrasive," əˈbreɪsɪv əˈbreɪsɪv əˈbreɪ·sɪv, -zɪv əˈbreɪ·sɪv, -zɪv"
abreast, əˈbrest əˈbrest əˈbrest
abridge, əˈbrɪdʒ əˈbrɪdʒ əˈbrɪdʒ
abridged, əˈbrɪdʒd
abroad, əˈbrɑːd əˈbrɑːd əˈbrɑːd əˈbrɔd
abrogate, ˈæbrəɡeɪt ˈæbrəɡeɪt
abrupt, əˈbrʌpt əˈbrʌpt əˈbrʌpt əˈbrʌpt
abruptly, əˈbrʌptli əˈbrʌptli
abruptness, əˈbrʌptnəs əˈbrʌptnəs
abs, æbz
abscess, ˈæbses ˈæb·ses
abscond," æbˈskɑːnd æbˈskɑːnd əbˈskɑnd, æb-"
absence, ˈæbsəns ˈæbsəns ˈæb·səns ˈæb·səns
absent, ˈæbsənt ˈæbsənt ˈæbsənt
absentee, ˌæbsənˈtiː ˌæb·sənˈti
absenteeism, ˌæbsənˈtiːɪzəm
absinthe, ˈæbsæ̃θ
absolute," ˈæbsəluːt ˈæbsəluːt ˈæbsəluːt ˈæbsəluːt ˈæb·səˌlut, ˌæb·səˈlut ˈæb·səˌlut, ˌæb·səˈlut"
absolutely," ˌæbsəˈluːtli ˌæbsəˈluːtli ˌæbsəˈluːtli ˈæb·səˌlut·li, ˌæb·səˈlut·li ˈæb·səˌlut·li, ˌæb·səˈlut·li ˈæb·səˌlut·li, ˌæb·səˈlut·li"
absolution, ˌæbsəˈluːʃən
absolve," əbˈzɑːlv əbˈzɑlv, æb-, -ˈzɔlv"
absorb," əbˈsɔːrb əbˈsɔːrb əbˈsɔːrb əbˈsɔːrb əbˈsɔːrb əbˈsɔːrb əbˈzɔrb, -ˈsɔrb əbˈzɔrb, -ˈsɔrb əbˈzɔrb, -ˈsɔrb"
absorbent," əbˈzɔːrbənt əbˈzɔr·bənt, æb-, -ˈsɔr-"
absorbing, əbˈzɔːrbɪŋ
absorption," əbˈzɔːrpʃən əbˈzɔːrpʃən əbˈzɔːrpʃən əbˈzɔːrpʃən əbˈzɔrp·ʃən, æb-, -ˈsɔrp- əbˈzɔrp·ʃən, æb-, -ˈsɔrp-"
abstain," æbˈsteɪn æbˈsteɪn æbˈsteɪn æbˈsteɪn, əb- æbˈsteɪn, əb-"
abstention, æbˈstenʃən æbˈstenʃən
abstinence, ˈæbstənəns ˈæbstənəns ˈæb·stə·nəns
abstinent, ˈæbstənənt
abstract," ˈæbstrækt ˈæbstrækt ˈæbstrækt æbˈstrækt, ˈæb·strækt æbˈstrækt, ˈæb·strækt æbˈstrækt, ˈæb·strækt"
abstracted, æbˈstræktɪd
abstraction, æbˈstrækʃən æbˈstrækʃən æbˈstrækʃən æbˈstræk·ʃən
abstruse, æbˈstruːs
absurd," əbˈsɝːd əbˈsɜrd, æb-, -ˈzɜrd"
absurdity, əbˈsɝːdət̬i əbˈsɝːdət̬i
absurdly, əbˈsɝːdli
abundance, əˈbʌndəns əˈbʌn·dəns əˈbʌn·dəns
abundant, əˈbʌndənt əˈbʌn·dənt
abundantly, əˈbʌndəntli əˈbʌndəntli əˈbʌn·dənt·li
abuse, əˈbjuːz əˈbjuːz əˈbjuːz əˈbjus
abuser, əˈbjuːzɚ əˈbjuːzɚ
abusive," əˈbjuːsɪv əˈbjuːsɪv əˈbju·sɪv, -zɪv"
abut, əˈbʌt
abuzz, əˈbʌz
abysmal, əˈbɪzməl əˈbɪzməl əˈbɪz·məl
abysmally, əˈbɪzməli
abyss, əˈbɪs əˈbɪs
acacia, əˈkeɪʃə
academe, ˈækədiːm
academia, ˌækəˈdiːmiə ˌæk·əˈdi·mi·ə
academic, ˌækəˈdemɪk ˌækəˈdemɪk ˌækəˈdemɪk ˌæk·əˈdem·ɪk ˌæk·əˈdem·ɪk
academically, ˌækəˈdemɪkəli ˌæk·əˈdem·ɪk·li
academician, əˌkædəˈmɪʃən əˌkædəˈmɪʃən
academics, ˌæk·əˈdem·ɪks
academy, əˈkædəmi əˈkædəmi əˈkædəmi əˈkæd·ə·mi
accelerant, ekˈselɚənt
accelerate," ekˈselɚeɪt ekˈselɚeɪt ekˈselɚeɪt ɪkˈsel·əˌreɪt, æk- ɪkˈsel·əˌreɪt, æk-"
accelerating, ekˈselɚeɪt̬ɪŋ
acceleration," ekˌseləˈreɪʃən ekˌseləˈreɪʃən ɪkˌsel·əˈreɪ·ʃən, æk- ɪkˌsel·əˈreɪ·ʃən, æk-"
accelerator," ekˈselɚeɪt̬ɚ ekˈselɚeɪt̬ɚ ekˈselɚeɪt̬ɚ ɪkˈsel·əˌreɪt̬·ər, æk- ɪkˈsel·əˌreɪt̬·ər, æk- ɪkˈsel·əˌreɪt̬·ər, æk-"
accent, ˈæksənt ˈæksənt ˈæksənt ˈæk·sent ˈæk·sent ˈæk·sent
accented, ˈæksent̬ɪd
accentuate," əkˈsentʃueɪt ɪkˈsen·tʃuˌeɪt, æk-"
accept," əkˈsept əkˈsept əkˈsept əkˈsept ɪkˈsept, æk- ɪkˈsept, æk- ɪkˈsept, æk- ɪkˈsept, æk-"
acceptable," əkˈseptəbəl əkˈseptəbəl ɪkˈsep·tə·bəl, æk- ɪkˈsep·tə·bəl, æk-"
acceptance," əkˈseptəns əkˈseptəns əkˈseptəns ɪkˈsep·təns, æk- ɪkˈsep·təns, æk-"
accepted, əkˈsept̬ɪd
accepting, əkˈseptɪŋ
access, ˈækses ˈækses ˈæk·ses ˈæk·ses
accessibility," əkˌsesəˈbɪlət̬i əkˌsesəˈbɪlət̬i əkˌsesəˈbɪlət̬i ɪkˈses·əˈbɪl·ɪ·t̬i, æk-"
accessible," əkˈsesəbəl əkˈsesəbəl əkˈsesəbəl ɪkˈses·ə·bəl, æk-"
accession, əkˈseʃən əkˈseʃən
accessorize, əkˈsesɚaɪz
accessory," əkˈsesəri əkˈsesəri ɪkˈses·ə·ri, æk- ɪkˈses·ə·ri, æk-"
accident," ˈæksədənt ˈæksədənt ˈæk·sə·dənt, -ˌdent ˈæk·sə·dənt, -ˌdent"
accidental, ˌæksəˈdent̬əl
accidentally, ˌæksəˈdent̬əli
acclaim, əˈkleɪm əˈkleɪm
acclaimed, əˈkleɪmd
acclamation, ˌækləˈmeɪʃən ˌæk·ləˈmeɪ·ʃən ˌæk·ləˈmeɪ·ʃən
acclimate, ˈækləmeɪt ˈæk·ləˌmeɪt
accolade, ˈækəleɪd
accommodate, əˈkɑːmədeɪt əˈkɑːmədeɪt əˈkɑːmədeɪt əˈkɑm·əˌdeɪt əˈkɑm·əˌdeɪt
accommodating, əˈkɑːmədeɪt̬ɪŋ əˈkɑm·əˌdeɪ·t̬ɪŋ
