Word,IPA Pronunciation,Cambridge Pronunciation Number
a,,0
aah,ɑ,1
aardvark,ɑɹdvɑɹk,1
abacus,æbəkəs,1
abalone,æbəloʊni,1
abandon,əbændən,1
abandoned,əbændənd,1
abandonment,əbændənmənt,1
abate,əbeɪt,1
abatement,əbeɪtmənt,1
abbey,æbi,1
abbot,æbət,1
abbreviate,əbɹivieɪt,1
abbreviated,əbɹivieɪtɪd,1
abbreviation,əbɹivieɪʃən,1
abdicate,æbdəkeɪt,1
abdication,,0
abdomen,,0
abdominal,æbdɑmənəl,1
abduct,æbdʌkt,1
abductee,,0
abduction,æbdʌkʃən,1
abductor,æbdʌktɚ,1
aberrant,,0
aberration,,0
abet,əbɛt,1
abeyance,əbeɪəns,1
abhor,æbhɔɹ,1
abhorrent,æbhɔɹənt,1
abide,əbaɪd,1
abiding,əbaɪdɪŋ,1
ability,əbɪləti,1
abject,æbdʒɛkt,1
ablaze,əbleɪz,1
able,eɪbəl,1
ably,eɪbli,1
abnormal,æbnɔɹməl,1
abnormality,æbnɔɹmæləti,1
abnormally,æbnɔɹməli,1
aboard,əbɔɹd,1
abode,əboʊd,1
abolish,əbɑlɪʃ,1
abolition,æbəlɪʃən,1
abolitionist,,0
abominable,əbɑmənəbəl,1
abomination,əbɑməneɪʃən,1
aboriginal,,0
abort,əbɔɹt,1
abortion,əbɔɹʃən,1
abortionist,əbɔɹʃənɪst,1
abortive,əbɔɹtɪv,1
abound,əbaʊnd,1
about,əbaʊt,1
above,əbʌv,1
aboveboard,əbʌvbɔɹd,1
abracadabra,æbɹəkədæbɹə,1
abrasion,əbɹeɪʒən,1
abrasive,əbɹeɪsɪv,1
abreast,əbɹɛst,1
abridge,əbɹɪdʒ,1
abridged,əbɹɪdʒd,1
abroad,əbɹɔd,4
abrogate,æbɹəɡeɪt,1
abrupt,əbɹʌpt,1
abruptly,əbɹʌptli,1
abruptness,əbɹʌptnəs,1
abs,,0
abscess,æbsɛs,1
abscond,æbskɑnd,1
absence,æbsəns,1
absent,æbsənt,1
absentee,æbsənti,1
absenteeism,æbsəntiɪzəm,1
absinthe,,0
absolute,æbsəlut,1
absolutely,æbsəlutli,1
absolution,æbsəluʃən,1
absolve,əbzɑlv,1
absorb,əbzɔɹb,7
absorbent,əbzɔɹbənt,1
absorbing,əbzɔɹbɪŋ,1
absorption,əbzɔɹpʃən,1
abstain,,0
abstention,,0
abstinence,æbstənəns,1
abstinent,æbstənənt,1
abstract,æbstɹækt,1
abstracted,æbstɹæktɪd,1
abstraction,æbstɹækʃən,1
abstruse,,0
absurd,əbsɝd,1
absurdity,əbsɝdəti,1
absurdly,əbsɝdli,1
abundance,əbʌndəns,1
abundant,əbʌndənt,1
abundantly,əbʌndəntli,1
abuse,əbjus,4
abuser,əbjuzɚ,1
abusive,əbjusɪv,1
abut,əbʌt,1
abuzz,əbʌz,1
abysmal,əbɪzməl,1
abysmally,əbɪzməli,1
abyss,əbɪs,1
acacia,əkeɪʃə,1
academe,ækədim,1
academia,ækədimiə,1
academic,ækədɛmɪk,1
academically,ækədɛmɪkli,2
academician,,0
academics,ækədɛmɪks,1
academy,əkædəmi,1
accelerant,,0
accelerate,,0
accelerating,,0
acceleration,,0
accelerator,,0
accent,,0
accented,æksɛntɪd,1
accentuate,,0
accept,,0
acceptable,,0
acceptance,,0
accepted,,0
accepting,,0
access,æksɛs,1
accessibility,,0
accessible,,0
accession,əksɛʃən,1
accessorize,,0
accessory,,0
accident,æksədənt,1
accidental,æksədɛntəl,1
accidentally,æksədɛntəli,1
acclaim,əkleɪm,1
acclaimed,əkleɪmd,1
acclamation,ækləmeɪʃən,1
acclimate,ækləmeɪt,1
accolade,ækəleɪd,1
accommodate,əkɑmədeɪt,1
accommodating,əkɑmədeɪtɪŋ,1
accommodation,əkɑmədeɪʃən,1
accommodations,əkɑmədeɪʃənz,1
accommodative,əkɑmədeɪtɪv,1
accompaniment,,0
accompanist,,0
accompany,əkʌmpəni,1
accompanying,əkʌmpəniɪŋ,1
accomplice,,0
accomplish,əkɑmplɪʃ,1
accomplished,əkɑmplɪʃt,1
accomplishment,əkɑmplɪʃmənt,1
accord,əkɔɹd,1
accordingly,əkɔɹdɪŋli,1
accordion,əkɔɹdiən,1
accost,əkɔst,2
account,əkaʊnt,1
accountability,,0
accountable,əkaʊntəbəl,1
accountancy,,0
accountant,əkaʊntənt,1
accounting,əkaʊntɪŋ,1
accounts,əkaʊnts,1
