,Word,Pronunciation
0,a,['ə']
1,a,['eɪ']
2,aa,['eɪeɪ']
3,aah,"['ɑ', 'ɒ']"
4,aardvark,"['ɑɹdvɑɹk', 'ɑɹdvɒɹk', 'ɒɹdvɑɹk', 'ɒɹdvɒɹk']"
5,aargh,"['ɑɹɡ', 'ɒɹɡ']"
6,aaron,['ɛɹən']
7,ab,['æb']
8,aba,['eɪbieɪ']
9,aback,['əbæk']
10,abacus,['æbəkəs']
11,abalone,['æbəloʊni']
12,abalones,['æbəloʊniz']
13,abandon,['əbændən']
14,abandoned,['əbændənd']
15,abandoning,['əbændənɪŋ']
16,abandonment,['əbændənmənt']
17,abandons,['əbændənz']
18,abate,['əbeɪt']
19,abated,['əbeɪtɪd']
20,abatement,['əbeɪtmənt']
21,abates,['əbeɪts']
22,abating,['əbeɪtɪŋ']
23,abba,['æbə']
24,abbas,"['əbɑs', 'əbɒs']"
25,abbe,['æbi']
26,abbe,['æbeɪ']
27,abbey,['æbi']
28,abbot,['æbət']
29,abbott,['æbət']
30,abbreviate,['əbɹivieɪt']
31,abbreviated,['əbɹivieɪtɪd']
32,abbreviation,['əbɹivieɪʃən']
33,abbreviations,['əbɹivieɪʃənz']
34,abby,['æbi']
35,abc,['eɪbisi']
36,abdicate,['æbdəkeɪt']
37,abdicated,['æbdəkeɪtəd']
38,abdicates,['æbdəkeɪts']
39,abdicating,['æbdɪkeɪtɪŋ']
40,abdication,['æbdɪkeɪʃən']
41,abdomen,['æbdoʊmən']
42,abdomen,['æbdəmən']
43,abdominal,"['æbdɑmənəl', 'æbdɒmənəl']"
44,abdominal,"['əbdɑmənəl', 'əbdɒmənəl']"
45,abduct,['æbdʌkt']
46,abducted,['æbdʌktɪd']
47,abducted,['əbdʌktɪd']
48,abductee,['æbdəkti']
49,abductees,['æbdəktiz']
50,abducting,['æbdʌktɪŋ']
51,abducting,['əbdʌktɪŋ']
52,abduction,['æbdʌkʃən']
53,abduction,['əbdʌkʃən']
54,abductions,['æbdʌkʃənz']
55,abductions,['əbdʌkʃənz']
56,abductor,"['æbdʌktɝ', 'æbdʌktɚ']"
57,abductor,"['əbdʌktɝ', 'əbdʌktɚ']"
58,abductors,"['æbdʌktɝz', 'æbdʌktɚz']"
59,abductors,"['əbdʌktɝz', 'əbdʌktɚz']"
60,abducts,['æbdʌkts']
61,abed,['əbɛd']
62,abel,['eɪbəl']
63,abele,['əbɛl']
64,abend,['æbɛnd']
65,abend,['əbɛnd']
66,aberdeen,"['æbɝdin', 'æbɚdin']"
67,abernethy,"['æbɝnɛθi', 'æbɚnɛθi']"
68,aberrant,['æbɛɹənt']
69,aberration,"['æbɝeɪʃən', 'æbɚeɪʃən']"
70,aberrations,"['æbɝeɪʃənz', 'æbɚeɪʃənz']"
71,abet,['əbɛt']
