Word,Possible IPA from CMU,Possible IPA from Cambridge
a,ə,ɛɪ
abdication,æbdɪkeɪʃən,æbdəkeɪʃən æbdəkeɪʃən
abdomen,æbdoʊmən,æbdəmən æbdəmən
abductee,æbdAH2kti,æbdʌkti
aberrant,æbɛɹənt,æbəɹənt
aberration,æbɝeɪʃən æbɚeɪʃən,æbəɹeɪʃən æbəɹeɪʃən
abolitionist,æbəlɪʃənəst,æbəlɪʃənɪst æbəlɪʃənɪst
aboriginal,æbɝɪdʒənəl æbɚɪdʒənəl,æbəɹɪdʒənəl æbəɹɪdʒənəl
abs,eɪbiɛs,æbz
absinthe,æbsɪnθ,æbsæ̃θ
abstain,əbsteɪn,æbsteɪn æbsteɪn æbsteɪn æbsteɪn əb æbsteɪn əb
abstention,əbstɛntʃən,æbstɛnʃən æbstɛnʃən
abstruse,əbstɹus,æbstɹus
academician,ækədəmɪʃən,əkædəmɪʃən əkædəmɪʃən
accelerant,æksɛlɝənt æksɛlɚənt,ɛksɛlɚənt
accelerate,æksɛlɝeɪt æksɛlɚeɪt,ɛksɛlɚeɪt ɛksɛlɚeɪt ɛksɛlɚeɪt ɪksɛləɹeɪt æk ɪksɛləɹeɪt æk
accelerating,æksɛlɝeɪtɪŋ æksɛlɚeɪtɪŋ,ɛksɛlɚeɪtɪŋ
acceleration,æksɛlɝeɪʃən æksɛlɚeɪʃən,ɛksɛləɹeɪʃən ɛksɛləɹeɪʃən ɪksɛləɹeɪʃən æk ɪksɛləɹeɪʃən æk
accelerator,æksɛlɝeɪtɝ æksɛlɝeɪtɚ æksɛlɚeɪtɝ æksɛlɚeɪtɚ,ɛksɛlɚeɪtɚ ɛksɛlɚeɪtɚ ɛksɛlɚeɪtɚ ɪksɛləɹeɪtəɹ æk ɪksɛləɹeɪtəɹ æk ɪksɛləɹeɪtəɹ æk
accent,əksɛnt,æksənt æksənt æksənt æksɛnt æksɛnt æksɛnt
accentuate,æksɛntʃueɪt,əksɛntʃueɪt ɪksɛntʃueɪt æk
accept,æksɛpt,əksɛpt əksɛpt əksɛpt əksɛpt ɪksɛpt æk ɪksɛpt æk ɪksɛpt æk ɪksɛpt æk
acceptable,æksɛptəbəl,əksɛptəbəl əksɛptəbəl ɪksɛptəbəl æk ɪksɛptəbəl æk
acceptance,æksɛptəns,əksɛptəns əksɛptəns əksɛptəns ɪksɛptəns æk ɪksɛptəns æk
accepted,æksɛptɪd,əksɛptɪd
accepting,æksɛptɪŋ,əksɛptɪŋ
accessibility,æksɛsəbɪlɪti,əksɛsəbɪləti əksɛsəbɪləti əksɛsəbɪləti ɪksɛsəbɪlɪti æk
accessible,æksɛsəbəl,əksɛsəbəl əksɛsəbəl əksɛsəbəl ɪksɛsəbəl æk
accessorize,æksɛsɝaɪz æksɛsɚaɪz,əksɛsɚaɪz
accessory,æksɛsɝi æksɛsɚi,əksɛsəɹi əksɛsəɹi ɪksɛsəɹi æk ɪksɛsəɹi æk
accompaniment,əkʌmpnɪmənt,əkʌmpənɪmənt əkʌmpənɪmənt əkʌmpənimənt əkʌmpənimənt
accompanist,əkʌmpənəst,əkʌmpənɪst
accomplice,əkɑmpləs əkɒmpləs,əkɑmplɪs əkɑmplɪs
accountability,əkaʊntəbɪlɪti,əkaʊntəbɪləti
accountancy,əkaʊntəntsi,əkaʊntənsi
accumulative,əkjumjəleɪtɪv,əkjumjələtɪv
acerbic,əsɛɹbɪk,əsɝbɪk
acetaminophen,əsitəmɪnəfən,əsitəmɪnəfɛn
achoo,ɑtʃu ɒtʃu,ətʃu
acid,æsəd,æsɪd æsɪd æsɪd
acknowledge,æknɑlɪdʒ æknɒlɪdʒ,əknɑlɪdʒ əknɑlɪdʒ ɪknɑlɪdʒ æk
acknowledged,æknɑlɪdʒd æknɒlɪdʒd,ɪknɑlɪdʒd æk
acknowledgment,æknɑlɪdʒmənt æknɒlɪdʒmənt,əknɑlɪdʒmənt əknɑlɪdʒmənt əknɑlɪdʒmənt ɪknɑlɪdʒmənt æk
acoustically,əkustɪkli,əkustɪkəli əkustɪkəli
acquirer,əkwaɪɝɝ əkwaɪɝɚ əkwaɪɚɝ əkwaɪɚɚ,əkwaɪɹɚ ɹɚ
acreage,eɪkəɹɪdʒ,eɪkɚɪdʒ kɚ
acrimony,ækɹɪmoʊni,ækɹəmoʊni
acropolis,əkɹɑpələs əkɹɒpələs,əkɹɑpəlɪs
activism,æktɪvɪzəm,æktəvɪzəm
activist,æktɪvɪst,æktəvɪst
actual,æktʃəwəl,æktʃuəl æktʃuəl
actuator,æktjueɪtɝ æktjueɪtɚ,æktʃueɪtɚ
acupuncture,ækjupAH2ŋktʃɝ ækjupAH2ŋktʃɚ,ækjəpʌŋktʃɚ ækjəpʌŋktʃəɹ
adage,ædədʒ,ædɪdʒ ædɪdʒ
adagio,ədɑʒioʊ ədɒʒioʊ,ədɑdʒioʊ
addict,ədɪkt,ædɪkt ædɪkt
additionally,ədɪʃənAH2li,ədɪʃənəli
additive,ædɪtɪv,ædətɪv ædətɪv
adequately,ædəkwɪtli,ædəkwətli
adhesion,ædhiʒən,ədhiʒən
adhesive,ædhisɪv,ədhisɪv ədhisɪv æd zɪv
adios,ɑdioʊs ɒdioʊs,ædioʊs
adjunct,ædʒAH2ŋkt,ædʒʌŋkt ædʒʌŋkt ædʒʌŋkt ædʒʌŋkt
administer,ədmɪnɪstɝ ədmɪnɪstɚ,ədmɪnəstɚ ədmɪnəstɚ ədmɪnəstɚ ədmɪnəstəɹ æd ədmɪnəstəɹ æd
administration,ædmɪnɪstɹeɪʃən,ədmɪnəstɹeɪʃən ədmɪnəstɹeɪʃən ədmɪnəstɹeɪʃən ədmɪnəstɹeɪʃən ədmɪnəstɹeɪʃən ədmɪnəstɹeɪʃən æd ədmɪnəstɹeɪʃən æd ədmɪnəstɹeɪʃən æd
administrative,ədmɪnɪstɹeɪtɪv,ædmɪnɪstɹeɪtɪv ædmɪnɪstɹeɪtɪv ædmɪnɪstɹeɪtɪv
administrator,ədmɪnɪstɹeɪtɝ ədmɪnɪstɹeɪtɚ,ədmɪnəstɹeɪtɚ ədmɪnəstɹeɪtɚ
admirable,ædmɝəbəl ædmɚəbəl,ædməɹəbəl
admirably,ædmɝəbli ædmɚəbli,ædməɹəbli
admiral,ædmɝəl ædmɚəl,ædməɹəl ædməɹəl
admiralty,ædmɝəlti ædmɚəlti,ædməɹəlti
admiration,ædmɝeɪʃən ædmɚeɪʃən,ædməɹeɪʃən
admire,ædmaɪɹ,ədmaɪɹ ədmaɪɹ ədmɑɪəɹ
admirer,ædmaɪɹɝ ædmaɪɹɚ,ədmaɪɹɚ
admiring,ædmaɪɹɪŋ,ədmaɪɹɪŋ
admission,ædmɪʃən,ədmɪʃən ədmɪʃən ədmɪʃən ədmɪʃən ədmɪʃən æd ədmɪʃən æd ədmɪʃən æd
admissions,ædmɪʃənz,ədmɪʃənz æd
admittedly,ædmɪtɪdli,ədmɪtɪdli
admonish,ædmɑnɪʃ ædmɒnɪʃ,ədmɑnɪʃ ədmɑnɪʃ ədmɑnɪʃ æd
admonishing,ædmɑnɪʃɪŋ ædmɒnɪʃɪŋ,ədmɑnɪʃɪŋ
adopted,ədɑptəd ədɒptəd,ədɑptɪd ədɑptɪd ədɑptɪd
adoration,ædɝeɪʃən ædɚeɪʃən,ædəɹeɪʃən
adulterate,ədʌltɝeɪt ədʌltɚeɪt,ədʌltəɹeɪt ədʌltəɹeɪt
adulterated,ədʌltɝeɪtɪd ədʌltɚeɪtɪd,ədʌltəɹeɪtɪd
advantage,ædvæntɪdʒ,ədvæntɪdʒ ədvæntɪdʒ ədvæntɪdʒ æd
