Word,Possible Pronunciations
aa,eɪeɪ
aargh,ɑɹɡ ɒɹɡ
aaron,ɛɹən
ab,æb
aba,eɪbieɪ
aback,əbæk
abalones,æbəloʊniz
abandoning,əbændənɪŋ
abandons,əbændənz
abated,əbeɪtɪd
abates,əbeɪts
abating,əbeɪtɪŋ
abba,æbə
abbas,əbɑs əbɒs
abbe,æbi
abbott,æbət
abbreviations,əbɹivieɪʃənz
abby,æbi
abc,eɪbisi
abdicated,æbdəkeɪtəd
abdicates,æbdəkeɪts
abdicating,æbdɪkeɪtɪŋ
abducted,æbdʌktɪd
abductees,æbdAH2ktiz
abducting,æbdʌktɪŋ
abductions,æbdʌkʃənz
abductors,æbdʌktɝz æbdʌktɚz
abducts,æbdʌkts
abed,əbɛd
abel,eɪbəl
abele,əbɛl
abend,æbɛnd
aberdeen,æbɝdin æbɚdin
abernethy,æbɝnɛθi æbɚnɛθi
aberrations,æbɝeɪʃənz æbɚeɪʃənz
abetted,əbɛtɪd
abetting,əbɛtɪŋ
abhorred,əbhɔɹd
abhors,əbhɔɹz
abided,əbaɪdɪd
abides,əbaɪdz
abigail,æbəɡeɪl
abilene,æbɪlin
abilities,əbɪlətiz
abler,eɪbəlɝ eɪbəlɚ
ablest,eɪbəlst
abloom,əblum
abner,æbnɝ æbnɚ
abnormalities,æbnɔɹmælətiz
abo,ɑboʊ ɒboʊ
abolished,əbɑlɪʃt əbɒlɪʃt
abolishes,əbɑlɪʃɪz əbɒlɪʃɪz
abolishing,əbɑlɪʃɪŋ əbɒlɪʃɪŋ
abolitionism,æbəlɪʃənɪzəm
abolitionists,æbəlɪʃənəsts
abominations,əbɑməneɪʃənz əbɒməneɪʃənz
aborigine,æbɝɪdʒəni æbɚɪdʒəni
aborigines,æbɝɪdʒəniz æbɚɪdʒəniz
aborted,əbɔɹtɪd
aborting,əbɔɹtɪŋ
abortionists,əbɔɹʃənɪsts
abortions,əbɔɹʃənz
aborts,əbɔɹts
abounded,əbaʊndɪd
abounding,əbaʊndɪŋ
abounds,əbaʊndz
abraham,eɪbɹəhæm
abrasions,əbɹeɪʒənz
abrasives,əbɹeɪsɪvz
abraxas,əbɹæksəz
abridgement,əbɹɪdʒmənt
abridging,əbɹɪdʒɪŋ
abrogated,æbɹəɡeɪtɪd
abrogating,æbɹəɡeɪtɪŋ
abscam,æbskæm
absconded,æbskɑndəd æbskɒndəd
absconding,æbskɑndɪŋ æbskɒndɪŋ
absences,æbsənsɪz
absentees,æbsəntiz
absentia,æbsɛnʃə
absoluteness,æbsəlutnəs
absolutes,æbsəluts
absolved,əbzɑlvd əbzɒlvd
absolves,əbzɑlvz əbzɒlvz
absolving,əbzɑlvɪŋ əbzɒlvɪŋ
absorbed,əbzɔɹbd
absorber,əbzɔɹbɝ əbzɔɹbɚ
absorbers,əbzɔɹbɝz əbzɔɹbɚz
absorbs,əbzɔɹbz
abstained,əbsteɪnd
abstaining,əbsteɪnɪŋ
abstentions,əbstɛntʃənz
abstractions,æbstɹækʃənz
abstracts,æbstɹækts
absurdist,əbsɝdɪst əbsɚdɪst
absurdities,əbsɝdətiz əbsɚdətiz
abt,æbt
abu,æbu
abused,əbjuzd
abusers,əbjuzɝz əbjuzɚz
abuses,əbjusɪz
abusing,əbjuzɪŋ
abuts,əbʌts
abutting,əbʌtɪŋ
abyssinia,æbsɪniə
abyssinian,æbsɪniən
ac,eɪsi
academies,əkædəmiz
acadia,əkeɪdiə
acapulco,ækəpʊlkoʊ
accede,æksid
acceded,æksidɪd
accelerated,æksɛlɝeɪtɪd æksɛlɚeɪtɪd
accelerates,æksɛlɝeɪts æksɛlɚeɪts
accelerators,æksɛlɝeɪtɝz æksɛlɝeɪtɚz æksɛlɚeɪtɝz æksɛlɚeɪtɚz
accents,æksɛnts
accentuated,æksɛntʃueɪtɪd
accentuates,æksɛntʃueɪts
accentuating,æksɛntʃueɪtɪŋ
acceptances,æksɛptənsɪz
accepts,æksɛpts
accessed,æksɛst
accessing,æksɛsɪŋ
accessories,æksɛsɝiz æksɛsɚiz
accessorized,æksɛsɝaɪzd æksɛsɚaɪzd
accidently,æksədəntli
accidents,æksədənts
acclaims,əkleɪmz
acclimated,ækləmeɪtɪd
accolades,ækəleɪdz
accommodated,əkɑmədeɪtəd əkɒmədeɪtəd
accommodates,əkɑmədeɪts əkɒmədeɪts
accompanied,əkʌmpənid
accompanies,əkʌmpəniz
accompli,ɑkɑmpli ɑkɒmpli ɒkɑmpli ɒkɒmpli
accomplices,əkɑmpləsəz əkɒmpləsəz
accomplishes,əkɑmplɪʃɪz əkɒmplɪʃɪz
accomplishing,əkɑmplɪʃɪŋ əkɒmplɪʃɪŋ
accomplishments,əkɑmplɪʃmənts əkɒmplɪʃmənts
accordance,əkɔɹdəns
accorded,əkɔɹdɪd
according,əkɔɹdɪŋ
accordions,əkɔɹdiənz
accords,əkɔɹdz
accosted,əkɑstəd əkɒstəd
accosting,əkɑstɪŋ əkɒstɪŋ
accountants,əkaʊntənts
accounted,əkaʊntɪd
accoutrement,əkutɝmənt əkutɚmənt
accra,ɑkɹɑ ɑkɹɒ ɒkɹɑ ɒkɹɒ
accrediting,əkɹɛdətɪŋ
accrued,əkɹud
accrues,əkɹuz
accruing,əkɹuɪŋ
accumulated,əkjumjəleɪtɪd
accumulates,əkjumjəleɪts
accumulating,əkjumjəleɪtɪŋ
accumulations,əkjumjəleɪʃənz
accusations,ækjəzeɪʃənz
accusers,əkjuzɝz əkjuzɚz
accuses,əkjuzɪz
aced,eɪst
aces,eɪsɪz
acetic,əsɛtɪk
acetylcholine,əsɛtəlkoʊlin
ached,eɪkt
aches,eɪks
achieved,ətʃivd
achievements,ətʃivmənts
achiever,ətʃivɝ ətʃivɚ
achievers,ətʃivɝz ətʃivɚz
achieves,ətʃivz
achieving,ətʃivɪŋ
achilles,əkɪliz
aching,eɪkɪŋ
acidosis,æsədoʊsəs
acids,æsədz
ack,æk
acker,ækɝ ækɚ
acknowledgement,æknɑlɪdʒmənt æknɒlɪdʒmənt
acknowledgements,æknɑlɪdʒmənts æknɒlɪdʒmənts
acknowledges,æknɑlɪdʒɪz æknɒlɪdʒɪz
acknowledging,æknɑlɪdʒɪŋ æknɒlɪdʒɪŋ
acolytes,ækəlaɪts
acorns,eɪkɔɹnz
acoustical,əkustɪkəl
acquaint,əkweɪnt
acquaintances,əkweɪntənsɪz
acquiesced,ækwiɛst
acquiescing,ækwiɛsɪŋ
acquired,əkwaɪɝd əkwaɪɚd
acquires,əkwaɪɝz əkwaɪɚz
acquiring,əkwaɪɹɪŋ
acquisitions,ækwəzɪʃənz
acquittals,əkwɪtəlz
acquitted,əkwɪtɪd
acquitting,əkwɪtɪŋ
acres,eɪkɝz eɪkɚz
acrobats,ækɹəbæts
acronyms,ækɹənɪmz
acrylics,əkɹɪlɪks
acted,æktɪd
actin,æktən
actions,ækʃənz
activated,æktɪveɪtɪd
activates,æktəveɪts
activating,æktəveɪtɪŋ
activator,æktəveɪtɝ æktəveɪtɚ
actives,æktɪvz
activists,æktɪvɪsts
activities,æktɪvɪtiz
acton,æktən
actors,æktɝz æktɚz
actresses,æktɹəsɪz
acts,ækts
actuaries,æktʃuɛɹiz
actuators,æktjueɪtɝz æktjueɪtɚz
acyclovir,əsɪkloʊvɪɹ
adam,ædəm
adams,ædəmz
adaptations,ædæpteɪʃənz
adapting,ədæptɪŋ
adaptor,ədæptɝ ədæptɚ
adaptors,ədæptɝz ədæptɚz
adapts,ədæpts
adar,ədɑɹ ədɒɹ
addendums,ədɛndəmz
addicting,ədɪktɪŋ
addictions,ədɪkʃənz
addicts,ədɪkts
adding,ædɪŋ
addis,ɑdɪs ɒdɪs
addison,ædɪsən
additions,ədɪʃənz
additives,ædɪtɪvz
addressed,ədɹɛst
addresses,ædɹɛsɪz
addressing,ædɹɛsɪŋ
adds,ædz
ade,eɪd
aden,eɪdən
adenoids,ædənɔɪdz
adenosine,ədɛnəsin
adhered,ædhɪɹd
adherents,ædhɪɹənts
adheres,ədhɪɹz
adhering,ədhɪɹɪŋ
adhesives,ædhisɪvz
adjectives,ædʒɪktɪvz
adjoins,ədʒɔɪnz
adjourned,ədʒɝnd ədʒɚnd
adjourning,ədʒɝnɪŋ ədʒɚnɪŋ
adjourns,ədʒɝnz ədʒɚnz
adjudged,ədʒʌdʒd
adjudicated,ədʒudəkeɪtɪd
adjudicating,ədʒudɪkeɪtɪŋ
adjusted,ədʒʌstɪd
adjuster,ədʒʌstɝ ədʒʌstɚ
adjusters,ədʒʌstɝz ədʒʌstɚz
adjusting,ədʒʌstɪŋ
adjustments,ədʒʌstmənts
adjusts,ədʒʌsts
administered,ədmɪnɪstɝd ədmɪnɪstɚd
administering,ædmɪnɪstɝɪŋ ædmɪnɪstɚɪŋ
administers,ædmɪnɪstɝz ædmɪnɪstɚz
administrate,ædmɪnɪstɹeɪt
administrations,ædmɪnɪstɹeɪʃənz
administrators,ædmɪnɪstɹeɪtɝz ædmɪnɪstɹeɪtɚz
admirals,ædmɝəlz ædmɚəlz
admired,ədmaɪɝd ədmaɪɚd
admirers,ədmaɪɹɝz ədmaɪɹɚz
admires,ædmaɪɹz
admits,ədmɪts
admitted,ədmɪtəd
admitting,ædmɪtɪŋ
admonished,ədmɑnɪʃt ədmɒnɪʃt
admonitions,ædmənɪʃənz
adolescents,ædəlɛsənts
adolf,eɪdɑlf eɪdɒlf
adolph,eɪdɔlf
adonis,ədɑnəs ədɒnəs
adopter,ədɑptɝ ədɑptɚ ədɒptɝ ədɒptɚ
adopting,ədɑptɪŋ ədɒptɪŋ
adoptions,ədɑpʃənz ədɒpʃənz
adopts,ədɑpts ədɒpts
adored,ədɔɹd
adores,ədɔɹz
adorned,ədɔɹnd
adorning,ədɔɹnɪŋ
adorns,ədɔɹnz
adriatic,eɪdɹiætɪk
ads,ædz
adulterers,ədʌltɝɝz ədʌltɝɚz ədʌltɚɝz ədʌltɚɚz
adults,ədʌlts
advancements,ədvænsmənts
advances,ədvænsɪz
advancing,ədvænsɪŋ
advantages,ædvæntɪdʒɪz
adventist,ædvɛntɪst
adventists,ædvɛntɪsts
adventurers,ædvɛntʃɝɝz ædvɛntʃɝɚz ædvɛntʃɚɝz ædvɛntʃɚɚz
adventures,ædvɛntʃɝz ædvɛntʃɚz
adventuresome,ædvɛntʃɝsəm ædvɛntʃɚsəm
adverbs,ædvɝbz ædvɚbz
adversaries,ædvɝsɛɹiz ædvɚsɛɹiz
advertised,ædvɝtaɪzd ædvɚtaɪzd
advertisements,ædvɝtaɪzmənts ædvɚtaɪzmənts
advertisers,ædvɝtaɪzɝz ædvɝtaɪzɚz ædvɚtaɪzɝz ædvɚtaɪzɚz
advertises,ædvɝtaɪzɪz ædvɚtaɪzɪz
advised,ædvaɪzd
advisers,ædvaɪzɝz ædvaɪzɚz
advises,ædvaɪzɪz
advising,ædvaɪzɪŋ
advisor,ædvaɪzɝ ædvaɪzɚ
advisories,ədvaɪzɝiz ədvaɪzɚiz
advisors,ædvaɪzɝz ædvaɪzɚz
advocated,ædvəkeɪtɪd
advocates,ædvəkəts
advocating,ædvəkeɪtɪŋ
ae,eɪ
aegean,eɪdʒiən
aegis,idʒəs
aeneas,æniəs
aer,ɛɹ
aerials,ɛɹiəlz
aero,ɛɹoʊ
aerobically,ɛɹoʊbɪkli
aerodromes,ɛɹədɹoʊmz
aerodyne,ɛɹədaɪn
aerosols,ɛɹəsɑlz ɛɹəsɒlz
aesop,isɑp isɒp
aesthetes,ɛsθits
affairs,əfɛɹz
affections,əfɛkʃənz
affects,əfɛkts
affiant,æfiənt
affidavits,æfɪdeɪvɪts
affiliates,əfɪliəts
affiliations,əfɪlieɪʃənz
affirmations,æfɝmeɪʃənz æfɚmeɪʃənz
affirmed,əfɝmd əfɚmd
affirming,əfɝmɪŋ əfɚmɪŋ
affirms,əfɝmz əfɚmz
affixed,əfɪkst
afflicted,əflɪktɪd
afflicting,əflɪktɪŋ
afflictions,əflɪkʃənz
afflicts,əflɪkts
affordability,əfɔɹdəbɪləti
afforded,əfɔɹdəd
affording,əfɔɹdɪŋ
affords,əfɔɹdz
affronted,əfɹʌntɪd
afghan,æfɡæn
afghani,æfɡɑni æfɡɒni
afghanis,æfɡæniz
afghanistan,æfɡænəstæn
afghans,æfɡænz
aficionados,əfɪʃənɑdoʊz əfɪʃənɒdoʊz
afield,əfild
aforesaid,əfɔɹsɛd
aforethought,əfɔɹθɑt əfɔɹθɒt
afoul,əfaʊl
africa,æfɹɪkɑ æfɹɪkɒ
african,æfɹɪkɑn æfɹɪkɒn
africans,æfɹɪkənz
afrikaans,æfɹəkɑnz æfɹəkɒnz
afrikaner,æfɹəkɑnɝ æfɹəkɑnɚ æfɹəkɒnɝ æfɹəkɒnɚ
afro,æfɹoʊ
