,CMU Word,CMU IPAs,Cambridge IPAs,CMU (Toolkit),Cambridge (Toolkit),Matched Pronunciations (IPA),Matched Pronunciations (Toolkit),Pronunciation Matches,Alternate Pronunciation,Root From Cambridge,Missing From Cambridge,Top Pronunciation (ALL),Top Pronunciation (ALT ONLY)
0,a,['ə'],['ɛɪ'],['e'],['E1'],[],[],[],1,0,0,1,1
1,a,['eɪ'],['ɛɪ'],['8'],['E1'],[],[],[],1,0,0,0,0
7,ab,['æb'],"['eɪbi', 'eɪbi', 'eɪbi']",['@b'],['8bi'],[],[],[],0,0,0,1,0
12,abalones,['æbəloʊniz'],['æbəloʊni'],['@beloniz'],['@beloni'],[],[],[],0,1,0,1,0
15,abandoning,['əbændənɪŋ'],"['əbændən', 'əbændən', 'əbændən']",['eb@nden1N'],['eb@nden'],[],[],[],0,1,0,1,0
17,abandons,['əbændənz'],"['əbændən', 'əbændən', 'əbændən', 'əbændən', 'əbændən']",['eb@ndenz'],['eb@nden'],[],[],[],0,1,0,1,0
19,abated,['əbeɪtɪd'],['əbeɪt'],['eb8t1d'],['eb8t'],[],[],[],0,1,0,1,0
21,abates,['əbeɪts'],"['əbeɪt', 'əbeɪt']",['eb8ts'],['eb8t'],[],[],[],0,1,0,1,0
22,abating,['əbeɪtɪŋ'],['əbeɪt'],['eb8t1N'],['eb8t'],[],[],[],0,1,0,1,0
33,abbreviations,['əbɹivieɪʃənz'],"['əbɹivieɪʃən', 'əbɹivieɪʃən']",['ebrivi8Senz'],['ebrivi8Sen'],[],[],[],0,1,0,1,0
37,abdicated,['æbdəkeɪtəd'],"['æbdəkeɪt', 'æbdəkeɪt']",['@bdek8ted'],['@bdek8t'],[],[],[],0,1,0,1,0
38,abdicates,['æbdəkeɪts'],"['æbdəkeɪt', 'æbdəkeɪt', 'æbdɪkeɪt']",['@bdek8ts'],"['@bdek8t', '@bd1k8t']",[],[],[],0,1,0,1,0
39,abdicating,['æbdɪkeɪtɪŋ'],"['æbdəkeɪt', 'æbdəkeɪt']",['@bd1k8t1N'],['@bdek8t'],[],[],[],0,1,0,1,0
40,abdication,['æbdɪkeɪʃən'],"['æbdəkeɪʃən', 'æbdəkeɪʃən']",['@bd1k8Sen'],['@bdek8Sen'],[],[],[],0,0,0,1,0
41,abdomen,['æbdoʊmən'],"['æbdəmən', 'æbdəmən']",['@bdomen'],['@bdemen'],[],[],[],1,0,0,1,1
