Word,Pronunciation,Root Word Returned,Missing
headline, ˈhedlaɪn ˈhed·lɑɪn,1,0
headlined, ˈhedlaɪn ˈhedlaɪn,1,0
headliner, ˈhedˌlaɪnɚ,0,0
headliners, ˈhedˌlaɪnɚ,1,0
headlines, ˈhedlaɪn ˈhed·lɑɪn,1,0
headlining, ˈhedlaɪn ˈhedlaɪn,1,0
headlong, ˈhedlɑːŋ ˈhedlɑːŋ ˈhedˈlɔŋ ˈhedˈlɔŋ,0,0
headman, ˈhedmæn,0,0
headmaster," ˈhedˌmæstɚ ˈhedˌmæs·tər, ˌhedˈmæs-",0,0
headmistress, ˈhedˌmɪstrəs,0,0
headphone, ˈhedfoʊn,0,0
headphones, ˈhedfoʊnz ˈhedˌfoʊnz,0,0
headquarter, ˈhedˌkwɔːrt̬ɚ,0,0
headquartered,,1,0
headquarters, ˈhedˌkwɔːrt̬ɚz ˈhedˌkwɔr·t̬ərz,1,0
headrest, ˈhedrest,0,0
headrests, ˈhedrest,1,0
headroom," ˈhedruːm ˈhedruːm ˈhedˌrum, -ˌrʊm",0,0
heads, hedz,1,0
headset, ˈhedset ˈhedˌset,1,0
headsets, ˈhedset ˈhedˌset,1,0
headsman,,0,1
headstone, ˈhedstoʊn ˈhedˌstoʊn,0,0
headstones, ˈhedstoʊn ˈhedˌstoʊn,1,0
headstrong, ˈhedstrɑːŋ ˈhedˌstrɔŋ,0,0
headwater, ˈhedwɑːt̬ɚ,0,0
headwaters, ˈhedwɑːt̬ɚz,0,0
headway,,0,1
headwind, ˈhedwɪnd ˈhedˌwɪnd,0,0
headwinds, ˈhedwɪnd ˈhedˌwɪnd,1,0
heady, ˈhedi ˈhed·i,0,0
heal, hiːl hiːl hil,0,0
healed, hiːl hiːl,1,0
healer, -lɚ ˈhi·lər,0,0
healers, -lɚ ˈhi·lər,1,0
healing, ˈhiːlɪŋ ˈhiːlɪŋ,0,0
heals, hiːl hiːl hil,1,0
health, helθ helθ helθ helθ helθ,1,0
healthcare, -ker,0,0
healthful, ˈhelθfəl ˈhelθ·fəl,0,0
healthier, ˈhelθi ˈhelθi ˈhelθi ˈhelθi ˈhelθi ˈhel·θi ˈhel·θi ˈhel·θi ˈhel·θi,1,0
healthiest, ˈhelθi ˈhelθi ˈhelθi ˈhelθi ˈhelθi ˈhel·θi ˈhel·θi ˈhel·θi ˈhel·θi,1,0
healthy, ˈhelθi ˈhelθi ˈhelθi ˈhelθi ˈhelθi ˈhel·θi ˈhel·θi ˈhel·θi ˈhel·θi,1,0
